performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7352941176470589,0.8241042345276873,0.3794407535698077,0.9511278195488722,0.7833333333333333,0.7270114942528736,0.8206417624521073,"[[ 47  13]
 [ 95 253]]"
1,0.7475490196078431,0.8352,0.3907572368239795,0.9595588235294118,0.8,0.7393767705382436,0.8511202678341488,"[[ 44  11]
 [ 92 261]]"
2,0.7401960784313726,0.8333333333333334,0.2975616822019756,0.9233449477351916,0.6271186440677966,0.7593123209169055,0.7902481666747608,"[[ 37  22]
 [ 84 265]]"
3,0.7107843137254902,0.8084415584415585,0.338407302741665,0.9576923076923077,0.7884615384615384,0.699438202247191,0.8302992653414003,"[[ 41  11]
 [107 249]]"
4,0.7401960784313726,0.8295819935691318,0.3772541885194986,0.9555555555555556,0.7857142857142857,0.7329545454545454,0.8459314123376623,"[[ 44  12]
 [ 94 258]]"

metrics_summary
mean,0.7348039215686275,0.8261322239743422,0.3566842327713853,0.9494558908122679,0.7569255603153908,0.7316186666819517,0.8276481749280158
std,0.01263146933992659,0.009623448825627372,0.03444263079568741,0.0133543282613844,0.06515507956153138,0.019420193415377752,0.021633745071428043

parameters
logs_file_path,../heliyon_results/results_scenario_I/hospitalized_and_urgencies_XGBoost_Classifier_20_features_Oversampling.csv
experiment_name,hospitalized_and_urgencies_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_only_clinical_data.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,20
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
