performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7230392156862745,0.812603648424544,0.3931079294405248,0.9607843137254902,0.8333333333333334,0.7040229885057471,0.8464319923371647,"[[ 50  10]
 [103 245]]"
1,0.7622549019607843,0.8467614533965244,0.398200696335878,0.9571428571428572,0.7818181818181819,0.7592067988668555,0.8441153747102756,"[[ 43  12]
 [ 85 268]]"
2,0.7475490196078431,0.8377952755905512,0.32509920269941656,0.9300699300699301,0.6610169491525424,0.7621776504297995,0.7950075275605847,"[[ 39  20]
 [ 83 266]]"
3,0.7303921568627451,0.8220064724919094,0.389319369218747,0.9694656488549618,0.8461538461538461,0.7134831460674157,0.8458297320656872,"[[ 44   8]
 [102 254]]"
4,0.7475490196078431,0.8330632090761751,0.42354759217854987,0.969811320754717,0.8571428571428571,0.7301136363636364,0.8676694399350648,"[[ 48   8]
 [ 95 257]]"

metrics_summary
mean,0.7421568627450981,0.8304460117959408,0.3858549579746232,0.9574548141095913,0.7958930335201522,0.7338008440466908,0.8398108133217554
std,0.013899457724272379,0.011971890317654473,0.03264665823121863,0.01454687709756764,0.0722068221365318,0.023510979193223806,0.02400847406614842

parameters
logs_file_path,../heliyon_results/results_scenario_I/hospitalized_and_urgencies_XGBoost_Classifier_all_features_Oversampling.csv
experiment_name,hospitalized_and_urgencies_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_only_clinical_data.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
