index,feature_name,score
1,edad,0.04760657719928685
2,filtrado_glomerular_estimado,0.03889247030685472
3,ferritina,0.035516779716881164
4,rango_edad,0.03402182753316074
5,peso_kg,0.030118941194230198
6,talla_cm,0.028180036968173727
7,prc,0.02669302300025489
8,diabetes_mellitus,0.024982342488879317
9,hta,0.023954064362562866
10,ldh,0.02247078573716177
11,il6,0.021455453568224536
12,dimeros_d,0.018245917455816496
13,neoplasia,0.015554568824998283
14,imc,0.014867829155176038
15,linfoma,0.008706671800043697
16,leucemia,0.005380090702356455
17,asma,0.004335112921858508
18,linfocitos,0.0030096988660175406
19,hiv,0.002506953572812609
20,linfocitos_porcentaje,0.000928754498083828
21,corticoides_cronicos_mas_3_meses,9.719210727099359e-05
22,sexo,0.0
23,creatinina,0.0
24,quimioterapia_ultimos_3_meses,0.0
25,transplante_organo_solido,0.0
26,hepatopatia,0.0
27,biologicos_ultimos_3_meses,0.0
28,epoc,0.0
