performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7592067988668555,0.6188340807174889,0.448177604429691,0.5702479338842975,0.7928286852589641,0.6764705882352942,0.8228263416920554,"[[199  52]
 [ 33  69]]"
1,0.7620396600566572,0.588235294117647,0.441609708207209,0.5,0.7769516728624535,0.7142857142857143,0.8469419366259515,"[[209  60]
 [ 24  60]]"
2,0.7337110481586402,0.5299999999999999,0.3767572172928838,0.43089430894308944,0.7463768115942029,0.6883116883116883,0.8018304159608507,"[[206  70]
 [ 24  53]]"
3,0.71671388101983,0.5535714285714286,0.36808731870438255,0.4696969696969697,0.7318007662835249,0.6739130434782609,0.7972263868065967,"[[191  70]
 [ 30  62]]"
4,0.7478753541076487,0.5860465116279069,0.4210294321328623,0.5080645161290323,0.767175572519084,0.6923076923076923,0.8308656991863098,"[[201  61]
 [ 28  63]]"

metrics_summary
mean,0.7439093484419262,0.5753374630068941,0.4111322561534057,0.4957807457306778,0.763026701703646,0.6890577453237299,0.8199381560543528
std,0.01686444880015549,0.030666722449383857,0.032965730514048046,0.04605359548278858,0.021686650539750815,0.014390049978841229,0.018442731326974354

parameters
logs_file_path,../heliyon_results/results_scenario_I/only_hospitalized_XGBoost_Classifier_20_features_Oversampling.csv
experiment_name,only_hospitalized_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_only_clinical_data.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,20
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
