index,feature_name,score
1,rango_edad,0.08609165948743303
2,edad,0.07934218964993733
3,creatinina,0.04388669751710661
4,dimeros_d,0.033952131596259205
5,transplante_organo_solido,0.02942337569341258
6,biologicos_ultimos_3_meses,0.027037283759541175
7,corticoides_cronicos_mas_3_meses,0.022698778621083715
8,linfocitos_porcentaje,0.0188967816071397
9,hta,0.017932136363922435
10,linfocitos,0.01776292112397848
11,quimioterapia_ultimos_3_meses,0.016724237969998113
12,il6,0.01281037180568112
13,neoplasia,0.012131415627154807
14,filtrado_glomerular_estimado,0.009891655626937057
15,talla_cm,0.009805180867303864
16,ldh,0.009008552133459302
17,hepatopatia,0.008923620896621243
18,linfoma,0.008524702581834909
19,hiv,0.00794331897505507
20,imc,0.0001647591940117099
21,ferritina,0.0
22,leucemia,0.0
23,asma,0.0
24,epoc,0.0
25,diabetes_mellitus,0.0
26,peso_kg,0.0
27,prc,0.0
28,sexo,0.0
