performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7507082152974505,0.6106194690265486,0.4342644472696917,0.5564516129032258,0.7808764940239044,0.6764705882352942,0.8211858448558707,"[[196  55]
 [ 33  69]]"
1,0.773371104815864,0.607843137254902,0.4696976770355234,0.5166666666666667,0.7843866171003717,0.7380952380952381,0.848181093998938,"[[211  58]
 [ 22  62]]"
2,0.7478753541076487,0.5658536585365854,0.4291870145451873,0.453125,0.7463768115942029,0.7532467532467533,0.825875211744777,"[[206  70]
 [ 19  58]]"
3,0.7478753541076487,0.5781990521327014,0.4093504626919081,0.5126050420168067,0.7777777777777778,0.6630434782608695,0.807304680992837,"[[203  58]
 [ 31  61]]"
4,0.7818696883852692,0.631578947368421,0.48847614863070876,0.559322033898305,0.8015267175572519,0.7252747252747253,0.8473282442748092,"[[210  52]
 [ 25  66]]"

metrics_summary
mean,0.7603399433427762,0.5988188528638316,0.4461951500346039,0.5196340710970009,0.7781888836107017,0.711226156622576,0.8299750151734463
std,0.014400300314038347,0.02368880014591261,0.028737435321840445,0.03850281821638545,0.017902327097043307,0.03525495820176563,0.015751811459828936

parameters
logs_file_path,../heliyon_results/results_scenario_I/only_hospitalized_XGBoost_Classifier_all_features_Oversampling.csv
experiment_name,only_hospitalized_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_only_clinical_data.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
