index,feature_name,score
1,edad,0.11476715748814681
2,rango_edad,0.09579499459887741
3,linfocitos_porcentaje,0.04509327308668509
4,linfoma,0.03277093283657306
5,peso_kg,0.027269188284138046
6,creatinina,0.024320239445310365
7,filtrado_glomerular_estimado,0.023677908592091956
8,hta,0.022773729752467275
9,corticoides_cronicos_mas_3_meses,0.021887215386483527
10,diabetes_mellitus,0.0162400246748291
11,neoplasia,0.015233612560865861
12,sexo,0.014983337831550037
13,dimeros_d,0.012527055879107074
14,linfocitos,0.01090954357726348
15,ldh,0.010879633161874347
16,il6,0.010346167475697277
17,ferritina,0.005319697957878233
18,transplante_organo_solido,0.0048756462554886415
19,asma,0.0037600136289515085
20,biologicos_ultimos_3_meses,0.0018040975425410721
21,epoc,0.0012787811147076944
22,prc,0.0004695680123081303
23,hepatopatia,0.0
24,imc,0.0
25,leucemia,0.0
26,talla_cm,0.0
27,hiv,0.0
28,quimioterapia_ultimos_3_meses,0.0
