performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7801932367149759,0.8655834564254061,0.2747078656488921,0.9015384615384615,0.4838709677419355,0.8323863636363636,0.7322443181818181,"[[ 30  32]
 [ 59 293]]"
1,0.8019323671497585,0.881159420289855,0.2959733040992302,0.9101796407185628,0.4827586206896552,0.8539325842696629,0.7386671832623014,"[[ 28  30]
 [ 52 304]]"
2,0.7681159420289855,0.8549848942598187,0.3087343830052013,0.9188311688311688,0.5833333333333334,0.7994350282485876,0.7638418079096045,"[[ 35  25]
 [ 71 283]]"
3,0.782608695652174,0.8668639053254438,0.3073843969441445,0.9272151898734177,0.5740740740740741,0.8138888888888889,0.7433899176954732,"[[ 31  23]
 [ 67 293]]"
4,0.7801932367149759,0.8667642752562226,0.26470674856675336,0.9192546583850931,0.5094339622641509,0.8199445983379502,0.7491245492081744,"[[ 27  26]
 [ 65 296]]"

metrics_summary
mean,0.7826086956521738,0.8670711903113493,0.29030133965284427,0.9154038238693408,0.5266941916206298,0.8239174926762907,0.7454535552514743
std,0.01090974858998669,0.008329553315806808,0.017674946329225,0.008782076622266268,0.043623214116081915,0.01837593723595586,0.010736865661353038

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_1600_features_vgg_16_fc7_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,1600
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
