performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.714975845410628,0.8167701863354038,0.21870006014803078,0.9006849315068494,0.532258064516129,0.7471590909090909,0.7018878299120235,"[[ 33  29]
 [ 89 263]]"
1,0.7560386473429952,0.8458015267175572,0.3090205438798571,0.9264214046822743,0.6206896551724138,0.7780898876404494,0.7268742735373886,"[[ 36  22]
 [ 79 277]]"
2,0.7294685990338164,0.8271604938271605,0.2511853600265425,0.9115646258503401,0.5666666666666667,0.7570621468926554,0.7357815442561205,"[[ 34  26]
 [ 86 268]]"
3,0.7367149758454107,0.8345978755690441,0.24019223070763068,0.919732441471572,0.5555555555555556,0.7638888888888888,0.7118827160493827,"[[ 30  24]
 [ 85 275]]"
4,0.6956521739130435,0.8018867924528301,0.23277184646593593,0.9272727272727272,0.6226415094339622,0.7063711911357341,0.6914493283855119,"[[ 33  20]
 [106 255]]"

metrics_summary
mean,0.7265700483091788,0.8252433749803991,0.2503740082455994,0.9171352261567527,0.5795622902689455,0.7505142410933637,0.7135751384280853
std,0.020347284723335954,0.015040907565465588,0.031166706963843,0.00997387938285016,0.03613195112787224,0.02425711627057656,0.016118315038194837

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_20_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,20
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
