performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7560386473429952,0.8503703703703702,0.20223226236306255,0.8885448916408669,0.41935483870967744,0.8153409090909091,0.7239277859237536,"[[ 26  36]
 [ 65 287]]"
1,0.8067632850241546,0.8826979472140762,0.3516277569361833,0.9233128834355828,0.5689655172413793,0.8455056179775281,0.7454475009686168,"[[ 33  25]
 [ 55 301]]"
2,0.8091787439613527,0.8853410740203193,0.32392764576056077,0.9104477611940298,0.5,0.8615819209039548,0.791949152542373,"[[ 30  30]
 [ 49 305]]"
3,0.7946859903381642,0.8759124087591241,0.30363209932912816,0.9230769230769231,0.5370370370370371,0.8333333333333334,0.7475051440329218,"[[ 29  25]
 [ 60 300]]"
4,0.7777777777777778,0.8630952380952381,0.31462364720969177,0.932475884244373,0.6037735849056604,0.8033240997229917,0.7017718078712174,"[[ 32  21]
 [ 71 290]]"

metrics_summary
mean,0.7888888888888889,0.8714834076918256,0.2992086823197253,0.915571668718355,0.5258261955787508,0.8318171762057436,0.7421202782677765
std,0.019836198229611413,0.013065516425617488,0.051030187782221896,0.015223067091418668,0.06334922533734542,0.020779484993695568,0.029939772018879835

parameters
logs_file_path,../heliyon_results/results_scenario_II/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
