performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.6946778711484594,0.4467005076142132,0.24567690745599768,0.39285714285714285,0.75,0.5176470588235295,0.715765570934256,"[[204  68]
 [ 41  44]]"
1,0.6918767507002801,0.4660194174757281,0.2647469189857203,0.4,0.7343173431734318,0.5581395348837209,0.7288895563374238,"[[199  72]
 [ 38  48]]"
2,0.6862745098039216,0.47663551401869164,0.2577071024431953,0.4358974358974359,0.7461538461538462,0.5257731958762887,0.7105273592386994,"[[194  66]
 [ 46  51]]"
3,0.7170868347338936,0.4598930481283422,0.29085184826339316,0.3805309734513274,0.7526501766784452,0.581081081081081,0.7278913188807182,"[[213  70]
 [ 31  43]]"
4,0.7170868347338936,0.5120772946859903,0.3501652298880494,0.4108527131782946,0.7275985663082437,0.6794871794871795,0.7732285635511442,"[[203  76]
 [ 25  53]]"

metrics_summary
mean,0.7014005602240896,0.47226515638459315,0.28182960140727115,0.40402765307684013,0.7421439864627934,0.5724256100303599,0.7312604737884485
std,0.013090556241510285,0.022134750804806855,0.037234095485502536,0.018736919403787446,0.009602099238577484,0.05816928088860138,0.0221280232559324

parameters
logs_file_path,../heliyon_results/results_scenario_II/only_hospitalized_XGBoost_Classifier_2560_features_vgg_16_fc7_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc7_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc7_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2560
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
