performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.680672268907563,0.4571428571428572,0.2514518189263687,0.384,0.7169117647058824,0.5647058823529412,0.6957179930795848,"[[195  77]
 [ 37  48]]"
1,0.7226890756302521,0.49230769230769234,0.3092435697928607,0.44036697247706424,0.7749077490774908,0.5581395348837209,0.714687205011585,"[[210  61]
 [ 38  48]]"
2,0.6526610644257703,0.456140350877193,0.2143447326346279,0.3969465648854962,0.6961538461538461,0.5360824742268041,0.6851704996034893,"[[181  79]
 [ 45  52]]"
3,0.6050420168067226,0.33802816901408445,0.10186193630750136,0.2589928057553957,0.6360424028268551,0.4864864864864865,0.6597984910705759,"[[180 103]
 [ 38  36]]"
4,0.6862745098039216,0.4814814814814815,0.3041470434180783,0.37681159420289856,0.6917562724014337,0.6666666666666666,0.7468752871978679,"[[193  86]
 [ 26  52]]"

metrics_summary
mean,0.6694677871148459,0.4450201101646617,0.2362098202158874,0.371423587464171,0.7031544070331016,0.5624162089233238,0.7004498951926206
std,0.039175649830917855,0.05528732810004017,0.07577486306682973,0.06038624041620694,0.044767741553401984,0.058907518734629544,0.029210975670088023

parameters
logs_file_path,../heliyon_results/results_scenario_II/only_hospitalized_XGBoost_Classifier_80_features_vgg_16_fc8_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc8_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,80
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
