performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7282913165266106,0.45810055865921784,0.27802891370255617,0.43617021276595747,0.8051470588235294,0.4823529411764706,0.7433607266435986,"[[219  53]
 [ 44  41]]"
1,0.7226890756302521,0.4648648648648649,0.2802233099384355,0.43434343434343436,0.7933579335793358,0.5,0.7168325753024973,"[[215  56]
 [ 43  43]]"
2,0.7142857142857143,0.4795918367346939,0.28273686527739245,0.47474747474747475,0.8,0.4845360824742268,0.7337628865979382,"[[208  52]
 [ 50  47]]"
3,0.7282913165266106,0.4812834224598931,0.3205654295568633,0.39823008849557523,0.7597173144876325,0.6081081081081081,0.7357463470537676,"[[215  68]
 [ 29  45]]"
4,0.7563025210084033,0.553846153846154,0.410680095532493,0.46153846153846156,0.7741935483870968,0.6923076923076923,0.805004135649297,"[[216  63]
 [ 24  54]]"

metrics_summary
mean,0.7299719887955182,0.48753736731296476,0.31444692280154807,0.4410059343781807,0.786483171055519,0.5534609648132995,0.7469413342494198
std,0.014128313964054322,0.03429188395196729,0.05059904044762597,0.026296852736693434,0.017004432564687356,0.08358204256411206,0.030297347221715575

parameters
logs_file_path,../heliyon_results/results_scenario_II/only_hospitalized_XGBoost_Classifier_all_features_vgg_16_fc6_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc6_only_imaging_features.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
