performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8333333333333334,0.8989751098096633,0.4323263139585754,0.9274924471299094,0.6129032258064516,0.8721590909090909,0.8320427052785924,"[[ 38  24]
 [ 45 307]]"
1,0.8188405797101449,0.8914616497829233,0.3530077778740202,0.9194029850746268,0.5344827586206896,0.8651685393258427,0.8003922898101512,"[[ 31  27]
 [ 48 308]]"
2,0.8260869565217391,0.8947368421052632,0.4065174516263446,0.9272727272727272,0.6,0.864406779661017,0.830743879472693,"[[ 36  24]
 [ 48 306]]"
3,0.8164251207729468,0.8895348837209301,0.3674228181820702,0.9329268292682927,0.5925925925925926,0.85,0.8040380658436215,"[[ 32  22]
 [ 54 306]]"
4,0.7946859903381642,0.8755490483162518,0.31687523186093103,0.9285714285714286,0.5660377358490566,0.8282548476454293,0.8055453927768776,"[[ 30  23]
 [ 62 299]]"

metrics_summary
mean,0.8178743961352657,0.8900515067470064,0.37522991870038835,0.927133283463397,0.581203262573758,0.855997851508276,0.8145524666363873
std,0.01301661215971739,0.007926660864547864,0.040494325295312966,0.004371255898249526,0.02793105989957936,0.015631031525430005,0.013858289278903218

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_2400_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,2400
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
