performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.8429951690821256,0.9056603773584907,0.44307567496262806,0.9258160237388724,0.5967741935483871,0.8863636363636364,0.823909457478006,"[[ 37  25]
 [ 40 312]]"
1,0.8188405797101449,0.890829694323144,0.37149508742807386,0.9244712990936556,0.5689655172413793,0.8595505617977528,0.7967841921735761,"[[ 33  25]
 [ 50 306]]"
2,0.8285024154589372,0.8984263233190273,0.3498183548013629,0.9101449275362319,0.48333333333333334,0.8870056497175142,0.8314265536723164,"[[ 29  31]
 [ 40 314]]"
3,0.8333333333333334,0.8998548621190131,0.4245996701711043,0.9422492401215805,0.6481481481481481,0.8611111111111112,0.8231995884773662,"[[ 35  19]
 [ 50 310]]"
4,0.7971014492753623,0.8771929824561403,0.3203528804681893,0.9287925696594427,0.5660377358490566,0.8310249307479224,0.7924005644697643,"[[ 30  23]
 [ 61 300]]"

metrics_summary
mean,0.8241545893719806,0.894392847915163,0.3818683335662717,0.9262948120299568,0.5726517856240609,0.8650111779475873,0.8135440712542058
std,0.015609173354013059,0.009814185428059684,0.045806685348282375,0.010248470868609041,0.05351020737590608,0.020687088328852656,0.015801233165739854

parameters
logs_file_path,../heliyon_results/results_scenario_III/hospitalized_and_urgencies_XGBoost_Classifier_all_features_vgg_16_fc6_Oversampling.csv
experiment_name,hospitalized_and_urgencies_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/hospitalized_and_urgencies_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
