performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7507002801120448,0.5572139303482587,0.3985325062461536,0.4827586206896552,0.7794117647058824,0.6588235294117647,0.803135813148789,"[[212  60]
 [ 29  56]]"
1,0.7366946778711485,0.5346534653465347,0.36442230287905064,0.46551724137931033,0.7712177121771218,0.627906976744186,0.7989788037415257,"[[209  62]
 [ 32  54]]"
2,0.7310924369747899,0.5514018691588785,0.36502869541166505,0.5042735042735043,0.7769230769230769,0.6082474226804123,0.7888183980967486,"[[202  58]
 [ 38  59]]"
3,0.7282913165266106,0.4812834224598931,0.3205654295568633,0.39823008849557523,0.7597173144876325,0.6081081081081081,0.7869114697736606,"[[215  68]
 [ 29  45]]"
4,0.7591036414565826,0.5612244897959183,0.4210528276667864,0.4661016949152542,0.7741935483870968,0.7051282051282052,0.850358422939068,"[[216  63]
 [ 23  55]]"

metrics_summary
mean,0.7411764705882353,0.5371554354218967,0.37392035235210386,0.4633762299506598,0.7722926833361621,0.6416428484145353,0.8056405815399582
std,0.011831211250388166,0.029368572175293164,0.03418552512985182,0.035508579114050226,0.006856101179674101,0.03675343182484489,0.023169393478796527

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_180_features_vgg_16_fc8_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc8_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc8.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,180
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
