performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.742296918767507,0.48888888888888893,0.31819173829975184,0.4631578947368421,0.8125,0.5176470588235295,0.7948529411764707,"[[221  51]
 [ 41  44]]"
1,0.7647058823529411,0.5625,0.4080895991063891,0.5094339622641509,0.8081180811808119,0.627906976744186,0.8116793958637261,"[[219  52]
 [ 32  54]]"
2,0.7086834733893558,0.4901960784313725,0.28763670303229516,0.4672897196261682,0.7807692307692308,0.5154639175257731,0.777934179222839,"[[203  57]
 [ 47  50]]"
3,0.7535014005602241,0.5111111111111112,0.3634018809818969,0.4339622641509434,0.7879858657243817,0.6216216216216216,0.8009024925986056,"[[223  60]
 [ 28  46]]"
4,0.7899159663865546,0.5901639344262295,0.46207119332775565,0.5142857142857142,0.8172043010752689,0.6923076923076923,0.8360215053763442,"[[228  51]
 [ 24  54]]"

metrics_summary
mean,0.7518207282913165,0.5285720025715204,0.3678782229496177,0.4776259110127638,0.8013154957499387,0.5949894534045604,0.8042781028475972
std,0.026726858133056693,0.040735780033904545,0.062316540908483584,0.030260098165857702,0.014308392500947852,0.0686583311860984,0.019269942768154365

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_780_features_vgg_16_fc6_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,780
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
