performance_metrics_values
repetition,accuracy,f1_score,mcc,precision,specificity,recall,auc_roc,confusion_matrix
0,0.7563025210084033,0.5445026178010473,0.38521352653279095,0.49056603773584906,0.8014705882352942,0.611764705882353,0.8021842560553634,"[[218  54]
 [ 33  52]]"
1,0.7478991596638656,0.5212765957446809,0.35421115927244295,0.4803921568627451,0.8044280442804428,0.5697674418604651,0.8035484424611689,"[[218  53]
 [ 37  49]]"
2,0.7394957983193278,0.5326633165829145,0.3524526053480857,0.5196078431372549,0.8115384615384615,0.5463917525773195,0.7791237113402061,"[[211  49]
 [ 44  53]]"
3,0.7366946778711485,0.47191011235955055,0.31089794481965116,0.40384615384615385,0.7809187279151943,0.5675675675675675,0.777313532613886,"[[221  62]
 [ 32  42]]"
4,0.7843137254901961,0.5792349726775956,0.44719390111833923,0.5047619047619047,0.8136200716845878,0.6794871794871795,0.8431669883282786,"[[227  52]
 [ 25  53]]"

metrics_summary
mean,0.7529411764705882,0.5299175230331578,0.36999382741826203,0.47983481926878147,0.8023951787307961,0.5949957294749769,0.8010673861597807
std,0.017121240100768747,0.0349055884594405,0.04525616211315148,0.040231828112869183,0.011626032787561783,0.04726758048972524,0.023772042252811005

parameters
logs_file_path,../heliyon_results/results_scenario_III/only_hospitalized_XGBoost_Classifier_all_features_vgg_16_fc6_Oversampling.csv
experiment_name,only_hospitalized_vgg_16_fc6_Oversampling
model,XGBoost_Classifier
dataset_path,../built_dataset/only_hospitalized_vgg_16_fc6.csv
preprocessing,Standardization
manual_seeds,"[0, 1, 2, 3, 4]"
balancing,Oversampling
imputation,No_Imputation_Model
csv_path_with_attrs_types,../original_dataset/attrs_headers_types.csv
feature_retrieval,MutualInformation
store_features_selection_report,True
splitting,Cross_Val_And_Holdout
noftopfeatures,all
nof_folds,5
nofsplits,5
n_neighbors,5
test_size,0.2
plot_data,False
